"","home_team","home_matches","home_points","home_goals","assists_home","saves_home","crosses_home","free_home","shots_home","offsides_home","throw_ins_home","penalties_home","handballs_home","corners_home","blocks_home","clearances_home","fouls_home","yellow_cards_home","red_cards_home","away_matches","away_points","away_goals","assists_away","saves_away","crosses_away","free_away","shots_away","offsides_away","throw_ins_away","penalties_away","handballs_away","corners_away","blocks_away","clearances_away","fouls_away","yellow_cards_away","red_cards_away","total_matches","total_points","points_avg","total_goals","total_assists","total_saves","total_crosses","total_free","total_shots","total_offsides","total_throw_ins","total_penalties","total_handballs","total_corners","total_blocks","total_clearances","total_fouls","total_yellow_cards","total_red_cards"
"1","Man Utd",152,364,338,234,328,3574,1687,1968,365,3160,30,72,1060,373,3918,1663,195,6,152,269,244,165,480,2816,1668,1480,365,3480,18,93,892,508,5211,1732,274,17,304,608,2,582,399,808,6390,3355,3448,730,6640,48,165,1952,881,9129,3395,469,23
"2","Man City",152,357,365,245,383,2569,1570,1982,354,3237,47,97,1174,356,3957,1736,200,10,152,229,241,177,406,2276,1672,1688,308,3440,11,107,850,436,4766,1850,291,12,304,598,1.96710526315789,606,422,789,4845,3242,3670,662,6677,58,204,2024,792,8723,3586,491,22
"3","Arsenal",152,325,306,231,364,3183,1839,2027,354,3141,19,74,1144,329,3373,1622,201,10,152,258,267,196,448,2368,1839,1606,312,3314,18,84,846,431,4796,1631,244,19,304,592,1.94736842105263,573,427,812,5551,3678,3633,666,6455,37,158,1990,760,8169,3253,445,29
"4","Chelsea",152,337,333,220,365,2947,1779,2247,373,3325,39,55,1063,392,3404,1691,190,10,152,261,250,176,438,2415,1789,1769,371,3404,16,83,924,478,4317,1718,285,21,304,587,1.93092105263158,583,396,803,5362,3568,4016,744,6729,55,138,1987,870,7721,3409,475,31
"5","Liverpool",152,301,294,202,340,2972,1691,2240,364,3692,23,81,1156,335,3831,1613,174,8,152,225,237,139,422,2196,1713,1657,365,3566,25,83,873,474,4661,1789,282,13,304,538,1.76973684210526,531,341,762,5168,3404,3897,729,7258,48,164,2029,809,8492,3402,456,21
"6","Spurs",152,300,255,175,409,3073,1839,2052,363,3882,19,86,1095,390,4751,1633,213,5,152,227,226,150,503,2270,1793,1583,280,3577,16,117,872,514,5199,1755,264,16,304,526,1.73026315789474,481,325,912,5343,3632,3635,643,7459,35,203,1967,904,9950,3388,477,21
"7","Everton",152,271,258,182,385,3171,1950,1763,354,3714,26,72,987,507,4745,1679,201,10,152,192,181,123,471,2573,1889,1402,351,3472,13,117,779,622,5422,1849,244,11,304,452,1.48684210526316,439,305,856,5744,3839,3165,705,7186,39,189,1766,1129,10167,3528,445,21
"8","Stoke",152,250,204,132,414,2687,1644,1439,294,4036,18,59,819,558,5059,1839,249,12,152,130,118,79,551,2138,1571,1121,324,3438,17,89,570,674,5618,1948,298,18,304,368,1.21052631578947,322,211,965,4825,3215,2560,618,7474,35,148,1389,1232,10677,3787,547,30
"9","Sunderland",152,194,184,102,483,3041,1817,1458,338,3639,20,68,783,557,4624,1740,265,12,152,132,149,98,627,2220,1652,1274,320,3393,14,91,637,683,5400,1825,285,24,304,343,1.12828947368421,333,200,1110,5261,3469,2732,658,7032,34,159,1420,1240,10024,3565,550,36
"10","Aston Villa",152,185,179,120,424,3124,1715,1493,318,3928,16,57,917,552,4728,1713,227,11,152,161,156,113,522,2358,1729,1206,318,3492,16,82,702,679,5682,1926,323,10,304,341,1.12171052631579,335,233,946,5482,3444,2699,636,7420,32,139,1619,1231,10410,3639,550,21
"11","West Ham",133,197,195,120,449,2625,1587,1504,339,3125,26,84,772,526,4865,1531,178,9,133,117,131,92,540,2108,1511,1182,334,2886,4,104,640,651,5120,1661,266,12,266,328,1.23308270676692,326,212,989,4733,3098,2686,673,6011,30,188,1412,1177,9985,3192,444,21
"12","Newcastle",133,195,199,120,374,2854,1660,1459,258,3086,18,49,772,383,3558,1490,212,10,133,116,125,86,407,2059,1533,1067,253,3125,7,72,542,468,4403,1572,237,25,266,320,1.20300751879699,324,206,781,4913,3193,2526,511,6211,25,121,1314,851,7961,3062,449,35
"13","West Brom",133,175,177,118,366,2586,1493,1435,335,2981,20,67,769,430,3581,1454,204,8,133,123,128,93,506,1890,1469,1168,320,2876,13,85,604,576,4289,1558,222,11,266,303,1.1390977443609,305,211,872,4476,2962,2603,655,5857,33,152,1373,1006,7870,3012,426,19
"14","Fulham",114,180,173,115,383,2055,1222,1284,304,2690,17,85,650,389,3911,1241,140,5,114,95,92,61,459,1439,1245,900,225,2464,8,85,463,467,4343,1350,157,2,228,272,1.19298245614035,265,176,842,3494,2467,2184,529,5154,25,170,1113,856,8254,2591,297,7
"15","Swansea",95,142,135,85,286,1634,1147,949,201,2032,11,33,510,295,2526,909,132,6,95,96,98,69,364,1339,1121,775,191,1952,6,41,424,380,3251,985,129,7,190,240,1.26315789473684,233,154,650,2973,2268,1724,392,3984,17,74,934,675,5777,1894,261,13
"16","Wigan",95,117,106,59,243,1747,1099,1080,174,2267,8,60,570,239,2685,1206,142,4,95,85,94,57,325,1277,1054,899,202,2104,11,54,400,348,3324,1219,182,12,190,211,1.11052631578947,200,116,568,3024,2153,1979,376,4371,19,114,970,587,6009,2425,324,16
"17","Southampton",76,128,134,84,165,1569,852,884,181,1733,6,32,461,179,2033,838,96,7,76,92,82,57,199,1399,848,688,193,1900,7,41,386,212,2437,904,121,4,152,210,1.38157894736842,216,141,364,2968,1700,1572,374,3633,13,73,847,391,4470,1742,217,11
"18","Blackburn",76,108,98,65,204,1295,824,765,219,1885,11,42,378,252,2788,1003,122,4,76,57,77,48,236,1091,771,627,169,1729,9,70,341,302,3267,1066,140,12,152,185,1.21710526315789,175,113,440,2386,1595,1392,388,3614,20,112,719,554,6055,2069,262,16
"19","Bolton",76,101,104,72,263,1444,805,851,126,1936,9,41,422,276,3070,1042,111,8,76,61,77,49,312,1169,771,713,115,1889,7,50,369,341,3169,1037,142,8,152,178,1.17105263157895,181,121,575,2613,1576,1564,241,3825,16,91,791,617,6239,2079,253,16
"20","Norwich",76,105,96,62,223,1513,796,766,154,1801,7,30,397,235,2220,804,113,3,76,53,64,48,275,1186,757,612,158,1776,0,32,325,298,2672,878,128,6,152,169,1.11184210526316,160,110,498,2699,1553,1378,312,3577,7,62,722,533,4892,1682,241,9
"21","Hull",76,83,79,38,209,1549,949,724,192,2044,11,50,385,250,2653,995,110,10,76,54,65,46,255,1186,865,572,193,1676,4,40,280,349,2930,1001,150,9,152,148,0.973684210526316,144,84,464,2735,1814,1296,385,3720,15,90,665,599,5583,1996,260,19
"22","Crystal Palace",57,69,58,33,159,1195,721,548,132,1506,6,22,338,196,1637,692,82,4,57,66,61,35,177,767,628,442,97,1229,11,24,262,259,2024,715,99,4,114,130,1.14035087719298,119,68,336,1962,1349,990,229,2735,17,46,600,455,3661,1407,181,8
"23","QPR",57,63,60,39,188,1018,702,638,135,1375,8,31,285,215,2144,625,83,9,57,29,55,35,232,734,636,488,137,1192,4,34,259,283,2076,637,104,6,114,118,1.03508771929825,115,74,420,1752,1338,1126,272,2567,12,65,544,498,4220,1262,187,15
"24","Wolves",57,61,62,42,230,1392,661,553,122,1570,4,29,350,191,1879,646,80,4,57,42,56,35,239,1093,593,439,118,1337,5,42,300,227,2122,731,109,6,114,117,1.02631578947368,118,77,469,2485,1254,992,240,2907,9,71,650,418,4001,1377,189,10
"25","Leicester",38,68,63,38,101,736,434,417,57,946,10,21,211,140,1026,405,37,3,38,54,51,35,129,585,434,327,53,899,7,17,197,181,1192,457,60,4,76,119,1.56578947368421,114,73,230,1321,868,744,110,1845,17,38,408,321,2218,862,97,7
"26","Birmingham",38,59,38,27,151,688,482,351,106,1060,4,27,190,170,1410,428,58,3,38,30,37,23,173,532,438,296,83,910,2,26,146,188,1350,458,73,1,76,96,1.26315789473684,75,50,324,1220,920,647,189,1970,6,53,336,358,2760,886,131,4
"27","Burnley",38,45,39,29,115,719,451,352,71,1161,5,21,187,139,1466,432,53,0,38,18,31,22,165,596,454,317,59,877,4,21,158,173,1542,435,68,4,76,76,1,70,51,280,1315,905,669,130,2038,9,42,345,312,3008,867,121,4
"28","Portsmouth",38,45,50,36,116,835,420,449,90,922,5,23,230,96,1409,465,64,6,38,24,22,15,155,521,420,318,84,864,5,19,153,139,1499,511,62,4,76,67,0.881578947368421,72,51,271,1356,840,767,174,1786,10,42,383,235,2908,976,126,10
"29","Blackpool",19,20,30,20,67,417,202,217,47,485,3,17,91,71,777,236,22,0,19,19,25,15,84,268,183,175,50,391,5,16,92,119,839,204,25,2,38,45,1.18421052631579,55,35,151,685,385,392,97,876,8,33,183,190,1616,440,47,2
"30","Watford",19,24,20,9,57,335,277,183,29,514,3,8,94,39,426,210,38,2,19,21,20,9,69,221,221,138,23,404,4,12,69,70,507,249,35,1,38,44,1.15789473684211,40,18,126,556,498,321,52,918,7,20,163,109,933,459,73,3
"31","Bournemouth",19,20,23,15,43,339,259,176,31,526,2,8,128,49,410,175,25,0,19,22,22,13,46,262,202,146,35,520,2,5,92,55,542,186,28,1,38,42,1.10526315789474,45,28,89,601,461,322,66,1046,4,13,220,104,952,361,53,1
"32","Reading",19,20,23,16,65,479,225,152,38,473,3,10,104,64,600,186,21,1,19,8,20,12,92,351,199,159,42,499,1,14,85,90,700,208,24,0,38,40,1.05263157894737,43,28,157,830,424,311,80,972,4,24,189,154,1300,394,45,1
"33","Middlesbrough",19,24,17,8,65,472,245,199,66,493,2,10,103,67,738,221,30,1,19,8,11,7,83,348,206,169,55,458,1,15,69,72,844,233,25,2,38,35,0.921052631578947,28,15,148,820,451,368,121,951,3,25,172,139,1582,454,55,3
"34","Cardiff",19,20,20,14,79,360,225,174,40,443,1,7,110,76,613,169,26,0,19,10,12,9,78,254,209,134,41,434,0,8,86,97,659,176,24,1,38,32,0.842105263157895,32,23,157,614,434,308,81,877,1,15,196,173,1272,345,50,1
